activity,micromorts,microlives,category,period,period_type,period_days,micromorts_per_day,source_url,n_components,hedgeable_pct,source_id,confidence,year,geography,age_group,last_accessed
Mt. Everest ascent,37932,26552.4,Mountaineering,per ascent,event,60,632.2,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Himalayan mountaineering,12000,8400,Mountaineering,per expedition,event,45,266.67,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 infection (unvaccinated),10000,7000,COVID-19,per infection,event,14,714.29,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Spanish flu infection,3000,2100,Disease,per infection,event,14,214.29,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Matterhorn ascent,2840,1988,Mountaineering,per ascent,event,60,47.33,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Living in US during COVID-19 (Jul 2020),500,350,COVID-19,per month,month,30,16.67,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
"Living (one day, age 90)",463,324.1,Daily Life,per day,day,1,463,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Base jumping,430,301,Sport,per event,event,1,430,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
First day of life (newborn),430,301,Daily Life,per day,day,1,430,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 unvaccinated (age 80+),234,163.8,COVID-19,11 weeks (2022),period,77,3.04,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Caesarean birth (mother),170,119,Medical,per event,event,1,170,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
"Scuba diving, trained (yearly)",164,114.8,Sport,per year,year,365,0.45,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Vaginal birth (mother),120,84,Medical,per event,event,1,120,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
"Living (one day, age 75)",105,73.5,Daily Life,per day,day,1,105,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 unvaccinated (age 65-79),76,53.2,COVID-19,11 weeks (2022),period,77,0.99,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Night in hospital,75,52.5,Medical,per night,day,1,75,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 monovalent vaccine (age 80+),55,38.5,COVID-19,11 weeks (2022),period,77,0.71,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Living in NYC COVID-19 (Mar-May 2020),50,35,COVID-19,per 8 weeks,period,56,0.89,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Heroin use (per dose),30,21,Drugs,per dose,event,0.01,3000,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
US military in Afghanistan (2010),25,17.5,Military,per day,day,1,25,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 bivalent booster (age 80+),23,16.1,COVID-19,11 weeks (2022),period,77,0.3,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
COVID-19 unvaccinated (all ages),20,14,COVID-19,11 weeks (2022),period,77,0.26,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
American football,20,14,Sport,per game,event,0.13,153.85,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
"Living (one day, under age 1)",15,10.5,Daily Life,per day,day,1,15,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Ecstasy/MDMA (per dose),13,9.1,Drugs,per dose,event,0.01,1300,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Swimming,12,8.4,Sport,per swim,event,0.04,300,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
General anesthesia (emergency),10,7,Medical,per event,event,1,10,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Motorcycling (60 miles),10,7,Travel,per trip,event,0.17,58.82,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Skydiving,10,7,Sport,per event,event,1,10,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 monovalent vaccine (age 65-79),9,6.3,COVID-19,11 weeks (2022),period,77,0.12,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Skydiving (US),8,5.6,Sport,per event,event,1,8,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Skydiving (UK),8,5.6,Sport,per event,event,1,8,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 unvaccinated (age 50-64),8,5.6,COVID-19,11 weeks (2022),period,77,0.1,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Hang gliding,8,5.6,Sport,per event,event,1,8,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Running a marathon,7,4.9,Sport,per event,event,1,7,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
