country,iso3,cause,year,deaths_per_100k
United Kingdom,GBR,Cardiovascular diseases,2019,120.5
United Kingdom,GBR,Neoplasms,2019,136.2
United Kingdom,GBR,Chronic respiratory diseases,2019,35.8
United Kingdom,GBR,Diabetes mellitus,2019,10.2
United Kingdom,GBR,Chronic kidney disease,2019,8.4
United Kingdom,GBR,Chronic liver disease,2019,12.1
United Kingdom,GBR,Digestive diseases,2019,15.6
United States,USA,Cardiovascular diseases,2019,150.8
United States,USA,Neoplasms,2019,120.5
United States,USA,Chronic respiratory diseases,2019,42.3
United States,USA,Diabetes mellitus,2019,18.6
United States,USA,Chronic kidney disease,2019,14.2
United States,USA,Chronic liver disease,2019,15.8
United States,USA,Digestive diseases,2019,18.4
Japan,JPN,Cardiovascular diseases,2019,75.4
Japan,JPN,Neoplasms,2019,118.2
Japan,JPN,Chronic respiratory diseases,2019,18.2
Japan,JPN,Diabetes mellitus,2019,6.8
Japan,JPN,Chronic kidney disease,2019,4.2
Japan,JPN,Chronic liver disease,2019,9.8
Japan,JPN,Digestive diseases,2019,11.4
Germany,DEU,Cardiovascular diseases,2019,132.4
Germany,DEU,Neoplasms,2019,130.8
Germany,DEU,Chronic respiratory diseases,2019,32.6
Germany,DEU,Diabetes mellitus,2019,14.2
Germany,DEU,Chronic kidney disease,2019,10.8
Germany,DEU,Chronic liver disease,2019,18.4
Germany,DEU,Digestive diseases,2019,16.8
France,FRA,Cardiovascular diseases,2019,95.2
France,FRA,Neoplasms,2019,136.4
France,FRA,Chronic respiratory diseases,2019,24.6
France,FRA,Diabetes mellitus,2019,9.4
France,FRA,Chronic kidney disease,2019,7.8
France,FRA,Chronic liver disease,2019,22.4
France,FRA,Digestive diseases,2019,14.2
Australia,AUS,Cardiovascular diseases,2019,98.6
Australia,AUS,Neoplasms,2019,128.4
Australia,AUS,Chronic respiratory diseases,2019,30.4
Australia,AUS,Diabetes mellitus,2019,12.8
Australia,AUS,Chronic kidney disease,2019,9.2
Australia,AUS,Chronic liver disease,2019,10.4
Australia,AUS,Digestive diseases,2019,12.8
Canada,CAN,Cardiovascular diseases,2019,104.2
Canada,CAN,Neoplasms,2019,128.6
Canada,CAN,Chronic respiratory diseases,2019,34.2
Canada,CAN,Diabetes mellitus,2019,13.4
Canada,CAN,Chronic kidney disease,2019,10.2
Canada,CAN,Chronic liver disease,2019,12.6
Canada,CAN,Digestive diseases,2019,14.4
India,IND,Cardiovascular diseases,2019,278.4
India,IND,Neoplasms,2019,84.6
India,IND,Chronic respiratory diseases,2019,96.2
India,IND,Diabetes mellitus,2019,26.4
India,IND,Chronic kidney disease,2019,18.8
India,IND,Chronic liver disease,2019,28.6
India,IND,Digestive diseases,2019,38.4
China,CHN,Cardiovascular diseases,2019,248.6
China,CHN,Neoplasms,2019,152.4
